"Date","Price","Open","High","Low","Change %"
"Jun 05, 2018","67.100","67.080","67.230","67.080","0.04%"
"Jun 04, 2018","67.070","66.915","67.170","66.850","0.11%"
"Jun 01, 2018","66.995","67.455","67.455","66.995","-0.65%"
"May 31, 2018","67.430","67.430","67.600","67.320","-0.01%"
"May 30, 2018","67.440","67.855","67.900","67.395","-0.59%"
"May 29, 2018","67.840","67.630","67.995","67.630","0.65%"
"May 28, 2018","67.400","67.505","67.532","67.298","-0.49%"
"May 25, 2018","67.730","68.330","68.330","67.718","-0.89%"
"May 24, 2018","68.340","68.350","68.435","68.295","-0.04%"
"May 23, 2018","68.370","68.160","68.485","68.160","0.51%"
"May 22, 2018","68.020","67.990","68.095","67.938","-0.14%"
"May 21, 2018","68.115","68.105","68.165","68.023","0.18%"
"May 18, 2018","67.990","67.775","68.100","67.768","0.33%"
"May 17, 2018","67.765","67.725","67.810","67.585","-0.01%"
"May 16, 2018","67.775","68.105","68.135","67.755","-0.45%"
"May 15, 2018","68.080","67.690","68.148","67.460","0.77%"
"May 14, 2018","67.560","67.257","67.630","67.220","0.30%"
"May 11, 2018","67.360","67.145","67.380","67.115","0.17%"
"May 10, 2018","67.245","67.335","67.438","67.225","-0.16%"
"May 09, 2018","67.350","67.135","67.477","67.135","0.33%"
"May 08, 2018","67.130","67.175","67.290","66.988","-0.01%"
"May 07, 2018","67.140","66.830","67.185","66.790","0.48%"
"May 04, 2018","66.820","66.660","66.920","66.630","0.22%"
"May 03, 2018","66.670","66.605","66.720","66.530","-0.03%"
"May 02, 2018","66.690","66.760","66.782","66.640","-0.16%"
"May 01, 2018","66.800","66.460","66.810","66.450","0.51%"
"Apr 30, 2018","66.460","66.600","66.600","66.350","-0.24%"
"Apr 27, 2018","66.620","66.840","66.852","66.620","-0.28%"
"Apr 26, 2018","66.805","66.885","66.912","66.697","-0.17%"
"Apr 25, 2018","66.920","66.490","66.980","66.490","0.77%"
"Apr 24, 2018","66.410","66.420","66.460","66.295","-0.18%"
"Apr 23, 2018","66.530","66.210","66.530","66.150","0.48%"
"Apr 20, 2018","66.210","66.030","66.210","65.960","0.52%"
"Apr 19, 2018","65.870","65.850","65.870","65.735","0.23%"
"Apr 18, 2018","65.720","65.670","65.790","65.600","0.06%"
"Apr 17, 2018","65.680","65.450","65.702","65.420","0.32%"
"Apr 16, 2018","65.470","65.330","65.515","65.320","0.33%"
